19,"Accessories"
48,"Active Life"
305,"Adult"
316,"Adult Entertainment"
391,"Afghan"
223,"African"
259,"Ahwatukee"
162,"Airlines"
292,"Airport Shuttles"
343,"Airports"
215,"Amateur Sports Teams"
43,"American (New)"
66,"American (Traditional)"
245,"Amusement Parks"
303,"Animal Shelters"
250,"Anthem"
285,"Antiques"
111,"Apache Junction"
307,"Apartments"
327,"Appliances"
246,"Arcades"
117,"Art Galleries"
16,"Art Schools"
264,"Art Supplies"
74,"Arts & Crafts"
51,"Arts & Entertainment"
143,"Asian Fusion"
185,"Auto Detailing"
214,"Auto Glass Services"
212,"Auto Parts & Supplies"
164,"Auto Repair"
133,"Automotive"
134,"Avondale"
189,"Baby Gear & Furniture"
7,"Bagels"
63,"Bakeries"
168,"Barbeque"
113,"Barbers"
286,"Barre Classes"
35,"Bars"
177,"Basque"
47,"Beauty & Spas"
34,"Beer, Wine & Spirits"
284,"Bike Rentals"
243,"Bikes"
397,"Boat Charters"
319,"Boating"
423,"Body Shops"
12,"Books, Mags, Music & Video"
121,"Bookstores"
421,"Boot Camps"
382,"Botanical Gardens"
311,"Bowling"
418,"Brazilian"
77,"Breakfast & Brunch"
42,"Breweries"
393,"Bridal"
61,"British"
118,"Buckeye"
38,"Buffets"
84,"Building Supplies"
30,"Burgers"
407,"Burmese"
131,"Cafes"
109,"Cajun/Creole"
329,"Cambodian"
433,"Campgrounds"
155,"Candy Stores"
213,"Car Dealers"
216,"Car Rental"
326,"Car Stereo Installation"
132,"Car Wash"
73,"Cards & Stationery"
33,"Carefree"
114,"Caribbean"
425,"Carpeting"
103,"Casa Grande"
176,"Casinos"
44,"Caterers"
249,"Cave Creek"
150,"Champagne Bars"
25,"Chandler"
119,"Cheese Shops"
54,"Cheesesteaks"
195,"Chicken Wings"
383,"Child Care & Day Care"
210,"Children's Clothing"
40,"Chinese"
252,"Chiropractors"
265,"Chocolatiers & Shops"
367,"Churches"
52,"Cinema"
346,"Climbing"
80,"Coffee & Tea"
188,"Colleges & Universities"
339,"Comedy Clubs"
314,"Comfort Food"
170,"Comic Books"
239,"Community Service/Non-Profit"
296,"Computers"
422,"Contractors"
172,"Convenience Stores"
165,"Cooking Schools"
362,"Coolidge"
352,"Cosmetic Dentists"
427,"Cosmetic Surgeons"
173,"Cosmetics & Beauty Supply"
360,"Cosmetology Schools"
200,"Costumes"
228,"Creperies"
230,"Cuban"
137,"Dance Clubs"
430,"Dance Schools"
353,"Dance Studios"
104,"Day Spas"
8,"Delis"
95,"Dentists"
29,"Department Stores"
332,"Departments of Motor Vehicles"
351,"Dermatologists"
191,"Desserts"
39,"Dim Sum"
78,"Diners"
337,"Disc Golf"
124,"Discount Store"
69,"Dive Bars"
279,"Do-It-Yourself Food"
309,"Doctors"
64,"Dog Parks"
288,"Dog Walkers"
106,"Donuts"
123,"Drugstores"
270,"Dry Cleaning & Laundry"
426,"Ear Nose & Throat"
21,"Education"
281,"El Mirage"
400,"Electricians"
226,"Electronics"
388,"Estate Planning Law"
166,"Ethiopian"
86,"Ethnic Food"
27,"Event Planning & Services"
415,"Eyelash Service"
248,"Eyewear & Opticians"
263,"Fabric Stores"
328,"Family Practice"
167,"Farmers Market"
20,"Fashion"
67,"Fast Food"
203,"Festivals"
161,"Filipino"
91,"Fish & Chips"
390,"Fishing"
127,"Fitness & Instruction"
424,"Flooring"
357,"Florence"
76,"Florists"
75,"Flowers & Gifts"
273,"Fondue"
6,"Food"
120,"Food Delivery Services"
229,"Food Stands"
405,"Formal Wear"
175,"Fort McDowell"
282,"Fountain Hills"
208,"Fountain Hls"
321,"Framing"
138,"French"
334,"Fruits & Veggies"
280,"Furniture Reupholstery"
57,"Furniture Stores"
335,"Gas & Service Stations"
244,"Gastropubs"
235,"Gay Bars"
209,"Gelato"
96,"General Dentistry"
207,"German"
395,"Gift Shops"
320,"Gila Bend"
22,"Gilbert"
50,"Glendale"
5,"Glendale Az"
204,"Gluten-Free"
431,"Go Karts"
268,"Gold Canyon"
412,"Goldfield"
231,"Golf"
411,"Good Year"
107,"Goodyear"
112,"Greek"
83,"Grocery"
211,"Guadalupe"
377,"Gun/Rifle Ranges"
68,"Guns & Ammo"
158,"Gyms"
190,"Hair Removal"
46,"Hair Salons"
394,"Hair Stylists"
217,"Halal"
358,"Handyman"
