4584,1,4,5,6,7,8,9,,,,,,
4222,1,4,10,11,12,13,14,,,,,,
4646,1,4,15,16,17,14,18,19,20,21,,,
4137,1,4,22,23,9,,,,,,,,
1100,1,4,15,24,9,,,,,,,,
4935,0,4,25,26,27,28,,,,,,,
471,1,4,10,29,20,14,,,,,,,
2428,1,4,10,30,9,,,,,,,,
4494,1,4,25,31,14,32,,,,,,,
4793,0,4,33,6,34,,,,,,,,
2207,1,3,15,35,36,37,,,,,,,
2408,1,3,10,38,39,40,9,,,,,,
1829,1,4,15,41,14,,,,,,,,
1270,1,3,15,6,42,43,9,,,,,,
4761,0,4,15,24,9,,,,,,,,
1993,0,3,10,44,9,27,45,,,,,,
4057,0,4,10,46,47,,,,,,,,
4775,1,4,10,40,9,,,,,,,,
1981,1,4,10,20,14,18,19,,,,,,
3037,1,4,15,48,49,,,,,,,,
2494,1,4,50,51,52,,,,,,,,
3108,1,4,10,30,9,,,,,,,,
1144,1,4,15,30,9,,,,,,,,
970,2,4,53,54,23,9,,,,,,,
2508,1,4,10,14,55,32,56,57,58,,,,
1479,0,4,10,59,20,14,32,57,,,,,
1544,1,4,10,26,27,28,,,,,,,
513,2,4,53,60,35,36,61,9,,,,,
4105,1,4,10,62,9,,,,,,,,
429,1,4,15,30,9,,,,,,,,
2976,1,4,10,63,6,23,9,,,,,,
3152,0,4,15,29,20,14,,,,,,,
2269,0,4,53,48,64,65,,,,,,,
4674,1,4,15,66,67,9,,,,,,,
4672,0,4,25,14,68,,,,,,,,
4617,1,4,25,69,35,66,36,9,,,,,
4025,1,4,10,6,42,,,,,,,,
2304,1,4,70,30,9,,,,,,,,
1705,1,4,15,6,71,35,36,34,,,,,
5072,0,4,70,29,20,14,58,32,31,,,,
2665,1,4,10,72,9,,,,,,,,
27,1,4,15,30,66,9,,,,,,,
3667,1,4,10,73,74,75,14,27,,,,,
1897,0,4,10,75,14,76,,,,,,,
2358,1,4,10,77,78,9,,,,,,,
579,2,4,10,72,9,,,,,,,,
4904,0,4,10,46,47,,,,,,,,
4717,0,4,53,23,9,,,,,,,,
4224,1,4,53,79,9,,,,,,,,
2916,1,4,15,6,80,,,,,,,,
758,2,4,53,81,9,,,,,,,,
930,1,3,15,60,35,82,36,,,,,,
2197,1,4,10,6,34,83,,,,,,,
2678,1,4,25,84,55,,,,,,,,
337,1,4,70,72,9,,,,,,,,
2446,1,4,50,85,6,83,86,87,,,,,
3168,1,4,10,88,9,,,,,,,,
5019,0,4,10,67,72,9,,,,,,,
992,2,4,10,43,9,,,,,,,,
2043,1,4,15,6,89,,,,,,,,
3872,0,3,53,72,9,,,,,,,,
2568,1,4,10,90,9,,,,,,,,
2545,1,4,50,91,9,,,,,,,,
1851,1,4,70,6,89,,,,,,,,
1658,2,4,10,40,9,,,,,,,,
1648,1,4,10,6,83,,,,,,,,
3821,1,4,15,6,80,,,,,,,,
2076,1,4,70,72,9,,,,,,,,
200,0,3,10,92,93,20,14,,,,,,
3750,0,4,25,94,95,96,,,,,,,
4045,1,4,53,35,9,66,82,36,,,,,
1022,1,3,53,24,9,,,,,,,,
836,1,4,10,12,97,14,,,,,,,
3808,1,4,98,45,24,9,,,,,,,
276,2,4,15,26,99,27,28,,,,,,
2935,0,4,15,6,83,,,,,,,,
612,1,4,10,66,78,9,,,,,,,
3279,1,3,25,79,36,9,,,,,,,
2986,1,4,15,100,20,14,101,102,,,,,
899,1,4,103,38,40,9,,,,,,,
