10000,0,5
10001,1,5
10002,2,5
10003,3,4
10004,4,5
10005,5,5
10006,6,5
10007,7,5
10008,8,4
10009,9,2
10010,10,3
10011,11,5
10012,12,3
10013,13,4
10014,14,3
10015,15,5
10016,16,5
10000,17,4
10017,18,4
10018,19,4
10019,20,4
10020,21,4
10021,22,3
10022,23,1
10023,24,4
10024,25,4
10025,26,4
10026,27,4
10027,28,4
10028,29,4
10029,30,3
10030,31,5
10031,32,3
10032,33,4
10033,34,4
10034,35,4
10035,36,4
10036,37,4
10037,38,2
10038,39,4
10039,40,5
10040,41,4
10041,42,3
10042,43,4
10043,44,4
10044,45,1
10045,46,4
10046,47,4
10047,48,5
10048,49,4
10049,50,4
10050,51,5
10051,52,4
10052,53,4
10053,54,5
10054,55,4
10055,56,1
10056,57,5
10057,58,4
10058,59,4
10059,60,4
10060,61,4
10061,62,4
10062,63,4
10063,64,5
10048,56,4
10064,65,3
10065,66,5
10066,67,4
10034,68,5
10067,69,5
10068,70,1
10069,71,3
10070,72,3
10071,73,4
10072,74,1
10073,75,5
10074,76,5
10014,77,5
10075,78,1
10076,79,3
10077,80,4
10078,81,5
10079,82,3
10080,83,5
10081,84,1
10082,85,4
10083,86,4
10084,4,5
10085,87,3
10086,88,2
10049,89,5
10087,90,3
10087,91,4
10088,92,5
10089,93,3
10090,94,5
10091,95,5
10092,96,2
10093,97,5
10094,98,5
10095,99,2
10096,100,2
10097,101,5
10098,102,3
10099,103,4
10100,104,4
10101,105,1
10102,106,2
10033,107,3
10014,108,4
10103,109,4
10045,110,5
10104,111,3
10105,112,5
10013,10,3
10106,113,5
10107,114,4
10108,115,4
10109,116,1
10110,117,4
10066,16,5
10111,118,3
10112,115,4
10113,119,2
10114,120,3
10115,121,4
10116,122,5
10117,123,5
10118,124,5
10119,125,4
10120,9,5
10121,126,4
10122,127,1
10123,128,4
10124,129,3
10125,130,1
10126,131,4
10127,132,2
10128,104,4
10129,133,4
10130,134,3
10131,135,3
10132,136,4
10133,78,5
10134,137,5
10135,138,5
10136,139,5
10137,140,4
10138,141,2
10139,142,3
10140,143,2
10141,144,4
10142,145,5
10143,146,4
10144,147,2
10145,148,5
10146,149,4
10147,150,4
10148,151,4
10149,152,3
10150,153,3
10151,154,5
10114,155,5
10152,156,4
10041,98,4
10153,157,2
10154,158,4
10155,63,5
10156,159,5
10157,160,3
10111,161,4
10158,162,4
10159,163,4
10160,77,3
10161,164,3
10162,165,5
10163,166,5
10164,167,3
10165,168,1
10166,81,3
10167,169,2
10168,170,1
10169,171,3
10170,172,2
10171,173,5
10172,174,4
10173,175,5
10174,176,4
10175,177,1
10176,178,4
10177,128,4
10178,179,4
10179,180,4
10004,181,5
10036,182,3
10180,183,4
10181,179,5
10182,184,4
10140,185,5
10107,186,3
