14443,30,45,36,3.79,19
17782,5,24,9,3.90,10
13295,2,24,0,4.23,22
15187,0,7,0,4.00,9
16016,13,21,5,3.62,16
14099,113,386,147,3.79,155
14052,0,1,0,4.00,9
13238,21,38,37,4.27,30
14575,5,17,8,3.87,15
16968,8,20,12,4.07,41
17411,1,14,2,4.11,27
13771,295,795,527,3.51,379
15401,11,17,11,4.14,15
10115,356,359,268,3.30,267
13628,18,89,26,3.81,79
12817,1,24,10,3.81,21
17957,29,35,25,4.00,36
16132,0,6,7,4.00,8
13701,6,26,5,3.78,18
17573,3,25,3,4.27,26
14306,0,4,0,3.86,9
13899,18,48,21,3.79,47
14473,210,907,580,3.64,439
16903,5,28,11,3.62,14
18013,0,3,2,4.12,8
16935,43,209,91,3.93,332
14530,6,16,5,3.43,15
17647,3,9,1,4.85,13
12656,35,140,58,3.75,198
16335,2,11,6,4.18,11
10968,1,31,11,4.00,22
14609,9,22,3,3.88,17
11671,2,3,3,4.20,10
11280,3,29,4,3.67,43
16607,4,14,5,3.83,23
12863,5,17,8,2.62,10
15496,0,4,0,3.38,9
15324,24,92,27,3.72,133
15620,6,30,10,3.96,24
10530,14,46,9,3.15,26
17490,26,41,21,3.83,18
15514,1,14,2,3.86,14
15267,20,36,10,2.76,34
14452,1,2,3,4.81,17
17385,10,34,14,3.64,22
15983,0,2,1,3.78,9
11138,82,194,85,3.64,139
16438,1,3,2,4.00,8
10451,431,1543,770,3.80,1314
17096,270,489,334,3.81,347
15715,6,4,3,4.14,7
17681,2,24,4,3.88,26
17322,2,4,0,2.70,11
10857,155,243,267,4.05,58
10572,1511,2519,2110,3.91,357
16596,7,23,9,3.15,61
15274,0,5,0,2.67,6
10751,37,144,75,4.10,60
10152,66,169,80,3.82,106
14007,2,16,2,4.04,24
11153,4,26,5,4.26,23
16608,6,25,18,4.00,9
13656,1,7,0,3.20,10
15182,2,6,5,3.22,9
12573,19,38,25,4.04,24
14912,11,42,7,3.10,40
13627,2,22,7,3.79,19
16194,6,16,8,4.00,8
17880,1,19,0,3.67,9
14225,48,190,63,3.34,80
16722,18,55,24,4.30,20
12242,7,23,5,4.00,26
10871,12,39,12,4.23,56
16371,0,12,1,4.10,10
17569,5,4,3,3.50,8
14202,86,125,72,3.96,46
13384,5,22,11,4.18,11
15535,1,2,1,3.18,11
12490,10532,15570,11372,3.81,1556
13127,3,18,9,3.97,29
12334,1,1,0,3.29,7
11822,33,62,22,3.52,100
12392,1,15,1,3.57,14
10088,344,352,135,3.15,209
16824,1,12,3,3.92,13
17315,1,7,3,3.14,14
14794,9,20,15,3.71,14
16295,5,33,12,3.50,18
10369,9,34,17,3.58,12
15177,84,105,66,3.68,38
12516,1,15,7,4.00,21
13867,0,4,1,4.10,10
16224,0,4,1,3.88,8
12790,40,42,33,4.11,21
17504,15,52,23,3.94,127
14883,14,33,26,4.53,19
10683,8,24,7,3.22,27
16578,275,576,361,4.02,358
12375,4,31,9,3.69,77
13115,2,3,2,4.27,15
16406,34,121,47,3.21,29
16281,25,49,24,3.27,26
10378,46,148,35,3.46,79
17325,0,11,3,3.45,12
12380,61,104,135,3.56,90
10094,13,19,13,4.03,30
16787,13,32,6,4.04,23
16636,13,90,32,4.22,55
12178,61,134,85,3.64,118
13148,1404,2067,1755,3.80,321
10904,2,15,6,4.44,9
17097,7,28,5,3.86,22
15618,35,62,20,3.23,35
13730,58,88,61,3.79,28
11527,487,826,554,3.81,425
15135,35,142,29,3.28,195
10803,14,38,16,4.04,25
15545,4,19,4,3.90,10
16672,1,4,0,3.29,7
14209,580,1967,761,3.16,946
14871,3,6,3,2.92,14
17509,0,2,1,4.64,11
10519,121,227,113,3.14,118
13312,19,59,26,4.19,38
10300,27,89,39,3.79,76
14026,4,10,6,3.91,11
12538,20,88,33,4.44,84
13551,9,23,7,3.73,40
15857,9,45,24,4.33,18
15946,1,7,2,4.43,8
13047,39,77,35,3.55,31
14359,11,11,4,3.59,17
11793,39,126,84,3.82,66
16414,0,3,0,2.58,12
13009,11,47,18,3.53,62
16802,20,78,21,3.94,116
14387,2,6,2,4.09,11
12620,1,7,2,3.75,8
13736,6,9,4,4.29,7
17913,10,14,14,3.25,12
13310,1,6,0,4.22,9
16229,1,2,0,3.00,9
11637,35,100,43,4.00,51
15133,14,28,12,3.90,21
13249,4,16,13,4.14,14
16692,2,9,4,4.00,6
16580,7,30,9,3.11,44
12566,18,54,14,3.59,97
12967,7,24,10,3.54,13
15975,19,67,26,3.60,42
15377,134,253,192,3.69,258
11821,24,42,16,3.38,16
14952,98,381,147,3.79,404
16776,1,24,3,4.14,22
14488,6,36,9,4.00,10
11877,0,8,7,4.20,11
16557,5,31,13,3.95,19
12723,8,20,12,3.90,20
12211,0,26,6,3.47,15
11715,48,93,34,2.44,39
13264,55,76,58,3.54,28
14823,7,18,6,4.11,9
14654,40,57,23,3.89,20
13430,18,62,21,4.23,27
12571,10,36,6,4.13,31
13280,0,5,2,4.09,12
17383,0,8,2,4.30,10
12471,126,173,106,3.19,86
15321,16,46,38,4.00,28
15081,4,19,2,3.70,33
12667,26,96,38,3.68,245
10107,131,357,242,4.03,326
16493,1,6,0,4.38,9
12455,581,678,380,3.73,277
12861,67,200,72,3.91,83
15384,6,10,3,4.00,9
14391,42,67,44,3.70,37
15628,0,8,0,3.86,21
14782,1,10,5,4.27,11
10119,12,84,27,3.49,76
16319,0,8,3,4.73,12
14940,6,29,16,3.35,26
16129,1984,3931,2468,3.65,1521
13875,10,24,14,4.29,31
10066,49,124,51,3.87,83
13048,7,41,18,4.52,23
13503,89,148,88,4.18,57
11853,2,3,2,3.85,13
17984,23,73,21,4.29,200
16220,32,57,35,3.65,37
15352,44,29,11,3.97,36
15999,12,18,10,4.00,14
10040,8,32,9,4.00,29
13659,4,23,6,3.88,26
17536,3,13,3,4.00,12
12859,135,207,143,3.49,68
15518,6,31,4,3.41,27
12612,13,36,10,3.63,42
15277,4,22,3,3.57,29
15751,1,11,3,4.59,18
17184,11,37,12,3.83,37
10475,10,14,2,3.36,11
16963,6,18,12,4.00,10
11157,2,20,4,3.62,16
12583,6,4,0,4.31,16
14193,303,491,303,3.74,454
14189,7,26,9,3.50,10
14602,25,76,37,3.77,39
13142,1,8,1,3.73,12
10024,10,15,1,3.55,22
14938,17,59,2,2.66,32
10077,651,1175,740,3.68,518
11478,8,29,5,3.19,21
16548,42,18,8,4.28,71
10867,302,608,432,3.73,325
13397,0,0,1,4.57,7
10035,106,448,263,3.74,481
12435,8,23,9,3.27,11
14354,2,15,5,4.10,10
11992,6,25,3,3.38,13
11979,61,90,51,3.25,85
14765,2,29,5,4.62,16
12881,20,92,19,3.76,82
15030,3,12,4,4.67,6
15218,0,4,0,4.17,6
12083,6,19,6,2.36,11
13216,7,29,15,3.85,47
11892,2,7,0,3.00,12
16790,10,39,6,2.82,17
13782,2,5,3,4.29,8
11256,18,42,33,3.52,25
11473,13,24,4,3.06,18
10878,86,277,71,3.09,468
14542,5,13,4,3.50,22
12064,16,119,40,4.03,163
11319,8,28,9,3.30,66
11553,753,1049,874,3.59,159
12545,10,34,18,3.78,23
11890,17,43,23,3.45,38
14466,51,101,48,3.43,70
12924,169,353,164,3.44,103
15928,0,2,0,5.00,11
14194,4,18,6,3.17,24
11116,2,8,6,3.96,25
13173,7,29,6,3.33,18
12297,16,66,32,3.81,27
10490,244,522,359,3.76,288
10017,44,186,119,3.90,50
17551,0,2,0,3.62,10
10063,1,14,2,4.75,9
16682,9,25,8,3.73,15
14196,14,49,26,4.25,28
16350,1,4,3,4.40,5
14487,0,2,0,4.00,6
16444,0,7,0,2.67,16
13797,1,7,0,3.75,8
17029,41,127,111,4.11,55
